procs,points,method,time,pi_estimate,error
1,1000000,0,0.028193,3.1423520000,0.0007593464
1,1000000,0,0.028193,3.1423520000,0.0007593464
2,1000000,0,0.015110,3.1414360000,0.0001566536
2,1000000,0,0.015110,3.1414360000,0.0001566536
3,1000000,0,0.012189,3.1403080000,0.0012846536
3,1000000,0,0.012189,3.1403080000,0.0012846536
4,1000000,0,0.009912,3.1408120000,0.0007806536
4,1000000,0,0.009912,3.1408120000,0.0007806536
1,5000000,0,0.142344,3.1418264000,0.0002337464
1,5000000,0,0.142344,3.1418264000,0.0002337464
2,5000000,0,0.071845,3.1414120000,0.0001806536
2,5000000,0,0.071845,3.1414120000,0.0001806536
3,5000000,0,0.048065,3.1407200000,0.0008726536
3,5000000,0,0.048065,3.1407200000,0.0008726536
4,5000000,0,0.043234,3.1406992000,0.0008934536
4,5000000,0,0.043234,3.1406992000,0.0008934536
1,10000000,0,0.285558,3.1408856000,0.0007070536
1,10000000,0,0.285558,3.1408856000,0.0007070536
2,10000000,0,0.148188,3.1413068000,0.0002858536
2,10000000,0,0.148188,3.1413068000,0.0002858536
3,10000000,0,0.100963,3.1411044000,0.0004882536
3,10000000,0,0.100963,3.1411044000,0.0004882536
4,10000000,0,0.072877,3.1407696000,0.0008230536
4,10000000,0,0.072877,3.1407696000,0.0008230536
1,50000000,0,1.423558,3.1420781600,0.0004855064
1,50000000,0,1.423558,3.1420781600,0.0004855064
2,50000000,0,0.724305,3.1412704000,0.0003222536
2,50000000,0,0.724305,3.1412704000,0.0003222536
3,50000000,0,0.472253,3.1413110400,0.0002816136
3,50000000,0,0.472253,3.1413110400,0.0002816136
4,50000000,0,0.371159,3.1414889600,0.0001036936
4,50000000,0,0.371159,3.1414889600,0.0001036936
1,100000000,0,2.854893,3.1417676800,0.0001750264
1,100000000,0,2.854893,3.1417676800,0.0001750264
2,100000000,0,1.436455,3.1416659200,0.0000732664
2,100000000,0,1.436455,3.1416659200,0.0000732664
3,100000000,0,0.964407,3.1415853600,0.0000072936
3,100000000,0,0.964407,3.1415853600,0.0000072936
4,100000000,0,0.760306,3.1416549200,0.0000622664
4,100000000,0,0.760306,3.1416549200,0.0000622664
