mode,N,procs,avg_time
row,1000,1,0.001116411
row,1000,2,0.000553360
row,1000,4,0.000294184
row,2000,1,0.004821023
row,2000,2,0.002399560
row,2000,4,0.001475816
row,5000,1,0.032579525
row,5000,2,0.015319726
row,5000,4,0.009067138
row,10000,1,0.134045544
row,10000,2,0.059934667
row,10000,4,0.038739283
col,1000,1,0.001083449
col,1000,2,0.000540352
col,1000,4,0.000275491
col,2000,1,0.004763572
col,2000,2,0.002528965
col,2000,4,0.001725993
col,5000,1,0.031178411
col,5000,2,0.015895620
col,5000,4,0.009407112
col,10000,1,0.128151933
col,10000,2,0.062148010
col,10000,4,0.037359641
block,1000,1,0.001133222
block,1000,2,0.000581214
block,1000,4,0.000428853
block,2000,1,0.004861135
block,2000,2,0.002691080
block,2000,4,0.001533700
block,5000,1,0.031076929
block,5000,2,0.016151905
block,5000,4,0.009352478
block,10000,1,0.116261508
block,10000,2,0.061095118
block,10000,4,0.035622581
