mode,N,procs,avg_time,speedup,efficiency
block,1000,1,0.001133222,1.0,1.0
block,1000,2,0.000581214,1.949750006021878,0.974875003010939
block,1000,4,0.000428853,2.642448577950953,0.6606121444877382
block,2000,1,0.004861135,1.0,1.0
block,2000,2,0.00269108,1.8063881415639815,0.9031940707819908
block,2000,4,0.0015337,3.1695474995109865,0.7923868748777466
block,5000,1,0.031076929,1.0,1.0
block,5000,2,0.016151905,1.9240410960812362,0.9620205480406181
block,5000,4,0.009352478,3.3228550764834734,0.8307137691208684
block,10000,1,0.116261508,1.0,1.0
block,10000,2,0.061095118,1.9029590547644086,0.9514795273822043
block,10000,4,0.035622581,3.263702537443876,0.815925634360969
col,1000,1,0.001083449,1.0,1.0
col,1000,2,0.000540352,2.0050800219116427,1.0025400109558213
col,1000,4,0.000275491,3.932792722811272,0.983198180702818
col,2000,1,0.004763572,1.0,1.0
col,2000,2,0.002528965,1.8836053484330544,0.9418026742165272
col,2000,4,0.001725993,2.7599022707508083,0.6899755676877021
col,5000,1,0.031178411,1.0,1.0
col,5000,2,0.01589562,1.961446675247647,0.9807233376238235
col,5000,4,0.009407112,3.3143446150104303,0.8285861537526076
col,10000,1,0.128151933,1.0,1.0
col,10000,2,0.06214801,2.062044030050198,1.031022015025099
col,10000,4,0.037359641,3.430223887858023,0.8575559719645057
row,1000,1,0.001116411,1.0,1.0
row,1000,2,0.00055336,2.0175130114211366,1.0087565057105683
row,1000,4,0.000294184,3.794941261251462,0.9487353153128655
row,2000,1,0.004821023,1.0,1.0
row,2000,2,0.00239956,2.009127923452633,1.0045639617263165
row,2000,4,0.001475816,3.2666829740292824,0.8166707435073206
row,5000,1,0.032579525,1.0,1.0
row,5000,2,0.015319726,2.1266388837502705,1.0633194418751353
row,5000,4,0.009067138,3.5931431726306577,0.8982857931576644
row,10000,1,0.134045544,1.0,1.0
row,10000,2,0.059934667,2.236527717756403,1.1182638588782015
row,10000,4,0.038739283,3.4601968239835514,0.8650492059958879
